1,0,44,-18,4973,-1461,-3462,17,-12,39,5031,-1518,-3523,-7,0,0,0,0
2,625,42,-25,4678,-556,-4079.0000000000005,19,-19,41,4726,-596,-4134,1,0,0,0,0
3,1250,33,-27,4206,400,-4574,19,-22,38,4205,419,-4625,-1,0,0,0,0
4,1875,27,-30,3516,1440,-4938,16,-28,36,3545,1465,-5009,-1,0,0,0,0
5,2500,27.999999999999996,-39,2637,2442,-5075,16,-33,32,2701,2474,-5171,0,0,0,0,0
6,3125,26,-45,1755,3248,-5010,13,-36,27,1797,3302,-5098,1,0,0,0,0
7,3750,21,-46,874,3898,-4791,11,-39,23,896,3963,-4856,4,0,0,0,0
8,4375,12,-40,-47,4401,-4386,7,-38,15,-82,4498,-4409,6,0,0,0,0
9,5000,1,-31,-1049,4796,-3786,6,-36,9,-1077,4903,-3814,11,0,0,0,0
10,5625,-9,-30,-2122,5030,-2958,1,-35,1,-2129,5160,-3011,15.000000000000002,0,0,0,0
11,6250,-17,-28.999999999999996,-3013,5017,-2058,-1,-28.999999999999996,-8,-3026,5144,-2095,18,0,0,0,0
12,6875,-22,-25,-3723,4844,-1179,-5,-24,-14,-3741,4962,-1193,18,0,0,0,0
13,7500,-27,-16,-4279,4480,-259,-6,-18,-21,-4318,4589,-245,17,0,0,0,0
14,8125,-27.999999999999996,-3,-4725,3952.0000000000005,714,-9,-10,-25,-4765,4029,762,17,0,0,0,0
15,8750,-32,5,-5043,3201,1786,-12,-3,-30.999999999999996,-5097,3298,1820,13,0,0,0,0
16,9375,-41,12,-5093,2323,2717,-16,5,-35,-5153,2414,2756,9,0,0,0,0
17,10000,-44,18,-4971,1459,3461,-18,11,-38,-5034,1522,3520,4,0,0,0,0
18,10625,-43,26,-4679,548,4086.9999999999995,-18,19,-39,-4729,596,4134,-2,0,0,0,0
19,11250,-32,27,-4205,-407,4579,-19,24,-34,-4209,-425,4629,-1,0,0,0,0
20,11875,-29,32,-3519,-1443,4942,-17,28.999999999999996,-35,-3543,-1473,5014,0,0,0,0,0
21,12500,-27.999999999999996,40,-2636,-2449,5080,-15,35,-32,-2699,-2477,5175,0,0,0,0,0
22,13125,-25,46,-1755,-3250,5012,-15,37,-25,-1801,-3304,5097,-3,0,0,0,0
23,13750,-21,47,-879,-3890.9999999999995,4789,-11,39,-20,-902,-3960.0000000000005,4856,-5,0,0,0,0
24,14375,-11,41,42,-4396,4385,-7,39,-13,70,-4491,4411,-7,0,0,0,0
25,15000,0,32,1044,-4789,3784,-5,36,-8,1066,-4896,3812,-13,0,0,0,0
26,15625,9,30,2117,-5021,2954,-2,36,0,2130,-5158,3008,-15,0,0,0,0
27,16250,17,28.999999999999996,3009,-5016,2061,1,28.999999999999996,10,3029,-5144,2092,-18,0,0,0,0
28,16875,22,25,3720,-4846,1183,4,24,16,3737,-4961,1194,-19,0,0,0,0
29,17500,27,16,4282,-4478,252.99999999999997,8,18,23,4320,-4594,243,-19,0,0,0,0
30,18125,27.999999999999996,4,4730,-3948,-724,9,10,26,4768,-4032.9999999999995,-764,-16,0,0,0,0
31,18750,34,-3,5047,-3201,-1791,14,3,32,5096,-3303,-1817,-14,0,0,0,0
32,19375,40,-13,5094,-2326,-2715,15,-4,37,5152,-2419,-2748,-10,0,0,0,0
33,20000,43,-18,4969,-1467,-3455,18,-12,39,5032,-1527,-3515,-5,0,0,0,0
34,20625,43,-24,4676,-557,-4075.9999999999995,18,-18,40,4726,-598,-4133,-3,0,0,0,0
35,21250,32,-26,4207,399,-4575,20,-23,36,4208,419,-4627,0,0,0,0,0
36,21875,27.999999999999996,-32,3518,1443,-4940,18,-28.999999999999996,36,3544,1468,-5013,1,0,0,0,0
37,22500,29,-40,2637,2447,-5080,15,-34,33,2701,2475,-5176,1,0,0,0,0
38,23125,26,-46,1764,3246,-5016,13,-37,27,1805,3304,-5103,2,0,0,0,0
39,23750,21,-47,888,3890.9999999999995,-4799,10,-38,24,906,3960.0000000000005,-4861,4,0,0,0,0
40,24375,13,-39,-39,4396,-4390,8,-39,15,-72,4493,-4415,6,0,0,0,0
41,25000,1,-31,-1044,4790,-3788,6,-36,9,-1067,4897,-3815,12,0,0,0,0
42,25625,-9,-30,-2119,5028,-2958,2,-35,2,-2126,5158,-3012,14,0,0,0,0
43,26250,-18,-27,-3014,5017,-2059,-2,-28.999999999999996,-7,-3027,5143,-2095,17,0,0,0,0
44,26875,-23,-25,-3723,4842,-1177,-4,-25,-13,-3743,4963,-1194,18,0,0,0,0
45,27500,-27,-17,-4277,4479,-259,-7,-19,-21,-4319,4590,-243,17,0,0,0,0
46,28125,-29,-2,-4722,3955,709,-10,-9,-26,-4764,4031.9999999999995,756,15.000000000000002,0,0,0,0
47,28750,-33,5,-5044,3205,1781,-13,-4,-30,-5096,3304,1811,13,0,0,0,0
48,29375,-38,12,-5092,2327,2713,-16,4,-36,-5152,2423,2746,11,0,0,0,0
49,30000,-44,19,-4970,1469,3453,-17,12,-37,-5032,1526,3513,3,0,0,0,0
