1,0,-99,26,-5148,2514,2582,-15,-79,15,-5153,2579,2611,22,0,0,0,0,0,0
2,625,-113,43,-5059,1628,3381,-17,-88,33,-5044,1685,3386,17,0,0,0,0,0,0
3,1250,-121,57.99999999999999,-4861,785,4031,-19,-91,43,-4786,783,4023,13,0,0,0,0,0,0
4,1875,-103,64,-4412,-207,4585,-20,-80,47,-4342,-212,4570,8,0,0,0,0,0,0
5,2500,-71,76,-3808,-1197,4983,-19,-60,57.99999999999999,-3743,-1216,4970,9,0,0,0,0,0,0
6,3125,-74,98,-2885,-2263,5140,-18,-61.00000000000001,75,-2873,-2288,5169,5,0,0,0,0,0,0
7,3750,-74,112.99999999999999,-1937.9999999999998,-3136,5083,-12,-56,88,-1961.0000000000002,-3140,5108,3,0,0,0,0,0,0
8,4375,-67,123,-1120,-3800,4937,-12,-51,94,-1084,-3816,4897,-5,0,0,0,0,0,0
9,5000,-51,114.99999999999999,-182,-4354,4565,-8,-39,88,-138,-4389,4522,-3,0,0,0,0,0,0
10,5625,-9,80,827,-4808,4021.9999999999995,-5,-8,65,826,-4828,3987.0000000000005,-13,0,0,0,0,0,0
11,6250,13.999999999999998,75,1906,-5075,3217,-3,4,65,1915,-5128,3188,-18,0,0,0,0,0,0
12,6875,30.999999999999996,75,2889,-5065,2233,0,23,61,2871,-5153,2250,-22,0,0,0,0,0,0
13,7500,49,71,3621,-4957,1393,3,38,57.99999999999999,3594,-5005,1371,-26,0,0,0,0,0,0
14,8125,61.99999999999999,57.99999999999999,4237,-4676,498.00000000000006,5,48,49,4208,-4701,447,-29,0,0,0,0,0,0
15,8750,66,28.999999999999996,4759,-4173,-527,10,53,24,4710,-4210,-547,-28,0,0,0,0,0,0
16,9375,82,-8,5103,-3495,-1550,12,64,2,5047,-3511,-1579,-25,0,0,0,0,0,0
17,10000,101,-25,5149,-2517,-2578,14,81,-14,5151,-2582,-2610,-25,0,0,0,0,0,0
18,10625,115.00000000000001,-43,5058,-1630,-3378,17,89,-30,5043,-1690,-3384,-18,0,0,0,0,0,0
19,11250,120.00000000000001,-57.99999999999999,4864,-791,-4027,19,93,-41,4786,-788,-4021.9999999999995,-14,0,0,0,0,0,0
20,11875,106,-61,4415,202,-4582,19,82,-46,4341,208,-4567,-10,0,0,0,0,0,0
21,12500,72,-76,3811,1190,-4978,18,61.99999999999999,-57.99999999999999,3739,1210,-4962,-8,0,0,0,0,0,0
22,13125,74,-97,2882,2264,-5138,18,63,-72,2869,2290,-5169,-8,0,0,0,0,0,0
23,13750,73,-112.99999999999999,1941,3137,-5084,13,57.99999999999999,-85,1961.0000000000002,3141,-5108,-4,0,0,0,0,0,0
24,14375,68,-125,1120,3801,-4940,9,52,-93,1085,3815,-4898,0,0,0,0,0,0,0
25,15000,52,-116.99999999999999,181,4356,-4567,7,40,-89,138,4390,-4522,5,0,0,0,0,0,0
26,15625,13.999999999999998,-82,-830,4810,-4020.9999999999995,5,10,-65,-831,4834,-3987.0000000000005,11,0,0,0,0,0,0
27,16250,-13.999999999999998,-74,-1896,5077,-3229,2,-3,-63,-1908,5128,-3195,18,0,0,0,0,0,0
28,16875,-30.999999999999996,-75,-2886,5067,-2235,-2,-22,-60,-2866,5151,-2254,23,0,0,0,0,0,0
29,17500,-50,-69,-3624,4957,-1389,-5,-36,-55.00000000000001,-3596,5004,-1369,26,0,0,0,0,0,0
30,18125,-63,-56.99999999999999,-4234,4679,-503.00000000000006,-5,-46,-46,-4208,4701,-449,27,0,0,0,0,0,0
31,18750,-67,-27,-4756,4177,520,-8,-53,-22,-4706,4211,538,26,0,0,0,0,0,0
32,19375,-82,10,-5098,3496,1547,-12,-63,1,-5047,3512,1577,25,0,0,0,0,0,0
33,20000,-102,26,-5150,2520,2578,-13,-79,16,-5152,2582,2610,24,0,0,0,0,0,0
34,20625,-114,45,-5059,1631,3380,-18,-88,32,-5043,1690,3383,17,0,0,0,0,0,0
35,21250,-122.00000000000001,60,-4864,793,4026,-20,-91,43,-4787,789,4017.9999999999995,10,0,0,0,0,0,0
36,21875,-106,64,-4413,-202,4580,-18,-80,47,-4344,-206,4566,9,0,0,0,0,0,0
37,22500,-71,75,-3813,-1191,4981,-20,-61.00000000000001,57.99999999999999,-3744,-1209,4965,6,0,0,0,0,0,0
38,23125,-75,96,-2886,-2261,5139,-17,-60,74,-2875,-2286,5169,5,0,0,0,0,0,0
39,23750,-73,112.99999999999999,-1944,-3134,5084,-16,-56,87,-1961.0000000000002,-3141,5109,4,0,0,0,0,0,0
40,24375,-67,125,-1120,-3802,4940,-11,-50,95,-1085,-3816,4901,-1,0,0,0,0,0,0
41,25000,-51,115.99999999999999,-185,-4354,4568,-7,-38,89,-140,-4388,4525,-6,0,0,0,0,0,0
42,25625,-9,80,822,-4806,4024.0000000000005,-4,-7,66,819,-4825,3990,-12,0,0,0,0,0,0
43,26250,13,75,1900,-5075,3225,-2,6,65,1908,-5127,3193,-18,0,0,0,0,0,0
44,26875,30.999999999999996,77,2883,-5066,2236,1,22,63,2866,-5153,2255,-21,0,0,0,0,0,0
45,27500,50,71,3618,-4954,1392,3,37,57.99999999999999,3591,-5004,1372,-26,0,0,0,0,0,0
46,28125,64,58.99999999999999,4234,-4678,500.99999999999994,5,47,49,4204,-4701,450,-28,0,0,0,0,0,0
47,28750,66,28.999999999999996,4758,-4175,-525,8,52,24,4709,-4211,-543,-27,0,0,0,0,0,0
48,29375,83,-6.999999999999999,5102,-3498,-1543,13,64,2,5048,-3513,-1578,-25,0,0,0,0,0,0
49,30000,103,-24,5150,-2520,-2575,14,79,-14,5152,-2585,-2608,-22,0,0,0,0,0,0
50,30625,116,-43,5059,-1629,-3380,17,90,-30,5045,-1692,-3385,-18,0,0,0,0,0,0
51,31250,122.00000000000001,-58.99999999999999,4865,-793,-4027,19,92,-41,4788,-791,-4017.9999999999995,-12,0,0,0,0,0,0
52,31875,106,-62,4418,196,-4578,19,81,-45,4343,205,-4565,-10,0,0,0,0,0,0
53,32500,73,-75,3817,1183,-4975,18,61.00000000000001,-56,3742,1204,-4960,-8,0,0,0,0,0,0
54,33125,74,-95,2891,2257,-5138,16,61.99999999999999,-72,2874,2284,-5168,-8,0,0,0,0,0,0
55,33750,73,-113.99999999999999,1945.9999999999998,3131,-5084,12,57.00000000000001,-86,1966,3134,-5107,-3,0,0,0,0,0,0
